Promedio_Notas,Asistencia_Pct,Tareas_Entregadas_Pct,Nivel_Participacion,Faltas_Disciplinarias,Nivel_Riesgo
9.3,70.0,67.8,Baja,0,Alto riesgo
7.6,77.9,72.7,Media,1,Medio riesgo
5.7,79.5,81.0,Desconocido_X99,0,Alto riesgo
4.0,59.7,76.9,Media,0,Alto riesgo
9.9,100.0,75.9,Media,1,Sin riesgo
8.6,64.7,63.0,Baja,1,Alto riesgo
7.7,85.0,80.5,Alta,1,Medio riesgo
6.3,73.4,69.2,Media,0,Medio riesgo
10.0,87.1,68.2,Media,0,Sin riesgo
6.6,80.3,87.1,Media,0,Medio riesgo
4.3,86.9,,Media,0,Alto riesgo
6.3,60.6,55.4,Media,0,Alto riesgo
7.8,72.5,85.6,Alta,0,Medio riesgo
10.0,90.2,88.7,Media,1,Sin riesgo
8.0,75.6,80.2,Alta,1,Medio riesgo
7.4,68.5,94.2,Media,3,Alto riesgo
8.6,91.3,87.6,Alta,0,Sin riesgo
150.0,69.1,96.3,Media,2,Alto riesgo
4.8,79.7,74.4,Media,2,Alto riesgo
,82.6,68.8,Media,0,Medio riesgo
10.0,94.4,91.6,Alta,0,Sin riesgo
4.4,66.2,71.6,Alta,0,Alto riesgo
150.0,100.0,96.2,Alta,0,Sin riesgo
8.0,80.2,94.3,Alta,0,Medio riesgo
5.4,57.5,61.5,Alta,1,Alto riesgo
9.8,71.9,83.0,Alta,1,Sin riesgo
6.1,63.4,72.0,Baja,1,Alto riesgo
9.2,75.9,71.7,Media,0,Sin riesgo
6.0,100.0,,Media,1,Medio riesgo
6.0,62.2,53.9,Baja,2,Alto riesgo
10.0,100.0,88.1,Baja,0,Sin riesgo
6.6,73.6,63.5,Media,0,Medio riesgo
8.7,73.6,50.4,Media,1,Sin riesgo
10.0,100.0,,Baja,1,Sin riesgo
8.4,78.4,80.6,Media,1,Sin riesgo
4.0,51.4,63.7,Baja,3,Alto riesgo
5.3,41.5,33.2,Alta,1,Alto riesgo
7.7,81.6,,Alta,2,Medio riesgo
10.0,91.7,100.0,Desconocido_X99,0,Sin riesgo
8.8,100.0,100.0,Alta,1,Sin riesgo
6.3,64.3,74.3,Media,1,Alto riesgo
10.0,88.6,,Media,0,Sin riesgo
7.9,59.0,42.0,Baja,1,Alto riesgo
10.0,93.3,90.4,Alta,0,Sin riesgo
8.7,83.0,65.6,Media,0,Sin riesgo
7.4,75.4,86.3,Media,0,Medio riesgo
,97.8,89.4,Alta,0,Sin riesgo
4.2,75.3,64.3,Alta,0,Alto riesgo
6.1,60.7,65.4,Baja,1,Alto riesgo
4.3,64.1,58.0,Desconocido_X99,0,Alto riesgo
8.4,82.6,69.6,Media,0,Sin riesgo
8.5,-25.0,76.1,Media,0,Sin riesgo
5.1,65.0,66.2,Media,0,Alto riesgo
10.0,94.6,93.1,Media,1,Sin riesgo
7.4,89.4,100.0,Alta,0,Medio riesgo
9.9,58.7,61.4,Baja,0,Alto riesgo
4.9,50.7,43.4,Baja,0,Alto riesgo
7.1,86.1,85.7,Alta,0,Medio riesgo
7.2,100.0,97.5,Media,0,Medio riesgo
9.5,80.4,83.3,Baja,0,Sin riesgo
8.1,85.5,85.5,Baja,0,Sin riesgo
6.8,71.8,80.3,Alta,0,Medio riesgo
7.2,69.3,68.1,Alta,0,Alto riesgo
10.0,94.6,99.7,Baja,0,Sin riesgo
5.3,52.5,54.6,Media,0,Alto riesgo
8.4,80.5,93.1,Baja,0,Sin riesgo
8.1,87.7,98.2,Media,0,Sin riesgo
7.3,79.6,,Alta,0,Medio riesgo
6.1,82.6,74.2,Media,2,Medio riesgo
7.4,73.8,82.8,Baja,0,Medio riesgo
8.0,-25.0,59.1,Media,0,Alto riesgo
10.0,94.4,95.8,Desconocido_X99,0,Sin riesgo
6.8,69.9,77.5,Alta,0,Alto riesgo
10.0,76.4,79.9,Alta,1,Sin riesgo
10.0,100.0,,Media,1,Sin riesgo
9.7,84.8,85.5,Alta,1,Sin riesgo
9.1,100.0,75.5,Alta,1,Sin riesgo
3.5,71.2,65.8,Desconocido_X99,0,Alto riesgo
8.0,72.4,69.3,Alta,0,Medio riesgo
3.4,54.3,,Media,2,Alto riesgo
,79.2,64.1,Media,1,Sin riesgo
6.0,76.3,76.5,Media,0,Medio riesgo
5.6,61.2,81.5,Media,0,Alto riesgo
150.0,84.1,76.4,Media,1,Sin riesgo
7.1,92.3,,Baja,0,Medio riesgo
7.3,-25.0,90.5,Alta,0,Medio riesgo
,85.1,81.7,Baja,1,Alto riesgo
8.1,95.9,73.0,Media,0,Sin riesgo
6.9,75.9,78.1,Media,0,Medio riesgo
6.3,91.8,87.1,Media,0,Medio riesgo
,80.9,91.4,Alta,0,Medio riesgo
5.9,56.6,44.7,Alta,1,Alto riesgo
9.1,88.3,76.8,Media,1,Sin riesgo
10.0,96.3,90.9,Media,0,Sin riesgo
8.7,-25.0,100.0,Media,0,Sin riesgo
,86.0,85.1,Media,0,Medio riesgo
10.0,98.3,92.8,Alta,3,Sin riesgo
7.9,80.2,80.7,Media,0,Medio riesgo
,81.4,77.0,Alta,0,Sin riesgo
7.5,73.3,62.6,Media,0,Medio riesgo
5.3,71.6,73.2,Media,1,Alto riesgo
8.7,82.1,73.1,Baja,1,Sin riesgo
6.7,-25.0,86.7,Media,1,Medio riesgo
9.2,77.3,86.1,Media,1,Sin riesgo
10.0,82.6,72.9,Alta,0,Sin riesgo
4.1,60.8,43.8,Media,0,Alto riesgo
150.0,90.2,100.0,Baja,0,Sin riesgo
7.3,65.9,46.2,Media,1,Alto riesgo
8.7,94.5,97.8,Media,1,Sin riesgo
7.3,97.2,76.1,Media,1,Medio riesgo
7.3,100.0,100.0,Alta,0,Medio riesgo
9.4,100.0,100.0,Media,0,Sin riesgo
8.0,91.8,89.9,Media,1,Sin riesgo
7.5,85.6,77.8,Alta,0,Medio riesgo
9.7,100.0,100.0,Media,0,Sin riesgo
10.0,100.0,87.5,Media,0,Sin riesgo
8.6,-25.0,97.8,Alta,0,Sin riesgo
5.2,64.5,57.8,Alta,1,Alto riesgo
3.4,43.9,52.9,Media,1,Alto riesgo
8.2,70.7,72.6,Media,1,Sin riesgo
10.0,88.6,86.2,Alta,0,Sin riesgo
6.5,69.4,64.0,Media,2,Alto riesgo
7.2,79.7,79.8,Alta,0,Medio riesgo
8.9,92.4,100.0,Media,0,Sin riesgo
10.0,100.0,97.6,Media,1,Sin riesgo
10.0,93.0,100.0,Media,0,Sin riesgo
9.2,73.9,79.9,Baja,2,Sin riesgo
9.0,82.6,54.8,Media,0,Sin riesgo
10.0,73.0,84.6,Desconocido_X99,1,Sin riesgo
8.0,85.4,88.9,Alta,0,Sin riesgo
9.1,65.8,70.2,Alta,2,Alto riesgo
8.9,88.9,85.4,Media,0,Sin riesgo
5.8,-25.0,88.3,Media,0,Alto riesgo
6.7,58.2,49.2,Media,0,Alto riesgo
7.3,77.8,77.5,Media,0,Medio riesgo
6.4,66.2,71.9,Media,1,Alto riesgo
8.4,70.9,71.1,Media,0,Sin riesgo
10.0,72.2,80.2,Baja,0,Sin riesgo
8.1,62.0,55.1,Media,3,Alto riesgo
10.0,93.4,98.3,Media,5,Sin riesgo
,64.9,67.1,Media,0,Alto riesgo
8.7,79.4,78.7,Media,0,Sin riesgo
8.9,100.0,99.4,Media,0,Sin riesgo
8.3,72.7,79.4,Media,0,Sin riesgo
10.0,94.1,100.0,Baja,1,Sin riesgo
9.8,81.8,87.8,Media,0,Sin riesgo
7.6,57.4,68.7,Media,0,Alto riesgo
6.2,77.3,88.9,Media,1,Medio riesgo
8.2,89.8,98.1,Media,0,Sin riesgo
4.5,70.4,85.8,Alta,1,Alto riesgo
5.5,85.9,88.4,Media,0,Alto riesgo
5.9,53.8,72.2,Alta,2,Alto riesgo
10.0,100.0,95.0,Baja,0,Sin riesgo
10.0,91.4,87.4,Baja,1,Sin riesgo
7.7,75.5,71.6,Media,1,Medio riesgo
7.2,77.2,80.3,Baja,0,Medio riesgo
6.5,52.1,50.5,Media,1,Alto riesgo
,62.1,56.9,Media,1,Alto riesgo
10.0,93.0,91.4,Alta,0,Sin riesgo
9.7,96.3,89.4,Baja,0,Sin riesgo
10.0,94.2,86.7,Desconocido_X99,0,Sin riesgo
,90.0,96.5,Alta,1,Sin riesgo
5.8,65.5,60.0,Baja,1,Alto riesgo
10.0,88.3,81.7,Baja,1,Sin riesgo
5.9,60.4,49.4,Media,0,Alto riesgo
5.5,69.5,66.3,Alta,1,Alto riesgo
,85.9,78.7,Media,1,Medio riesgo
5.6,70.9,71.0,Media,0,Alto riesgo
8.0,74.5,77.0,Baja,1,Medio riesgo
5.8,72.9,79.6,Alta,0,Alto riesgo
6.6,70.5,64.0,Alta,1,Medio riesgo
5.6,61.6,57.6,Alta,1,Alto riesgo
10.0,72.8,71.2,Baja,1,Sin riesgo
9.0,71.9,95.3,Alta,0,Sin riesgo
7.3,85.0,92.6,Alta,0,Medio riesgo
10.0,76.9,89.9,Alta,1,Sin riesgo
7.3,-25.0,71.3,Media,1,Alto riesgo
6.9,74.0,67.4,Alta,0,Medio riesgo
8.0,66.2,72.9,Media,2,Alto riesgo
5.2,60.4,36.7,Media,1,Alto riesgo
6.7,92.3,100.0,Media,0,Medio riesgo
4.4,52.9,68.0,Baja,0,Alto riesgo
10.0,98.9,91.8,Baja,0,Sin riesgo
